season,n_legs,n_lifelines,lifeline_extra_disposals,worst_case_bets,worst_case_turnover,worst_case_payout,expected_payout
2025,4,1,1,518,49346.75,240962.7836,107996.92973333334
2025,4,1,2,1056,84478.95,365720.7472,153166.88179166667
2025,4,1,3,1485,126025.93000000001,547285.6203,228192.11846666667
2025,4,1,4,1840,154310.03,634674.7421,262429.57720833336
2025,4,1,5,2184,180879.66,776820.7356,315212.184375
2025,4,2,1,573,53176.03,253992.3786,212425.72113333334
2025,4,2,2,1280,98870.34,412336.7012,306825.04981666664
2025,4,2,3,1885,147697.32,625387.4788,451618.2299166667
2025,4,2,4,2442,183834.7,748014.3634,523608.6917833333
2025,4,2,5,3000,217400.37,923711.1154,637127.0107833333
2025,4,3,1,576,53276.03,254402.3786,239417.9624
2025,4,3,2,1292,99295.34,414797.2012,372575.139875
2025,4,3,3,1933,149375.02,634787.7288,557753.6504
2025,4,3,4,2523,186200.14,762031.1609,664886.0369
2025,4,3,5,3143,222290.37,950573.6019,828791.49215
2025,6,1,1,261,22302.300024,96301.32465066,23909.046639488
2025,6,1,2,477,42717.660042,170526.31574994,43396.234831830996
2025,6,1,3,671,53859.940038,216334.49939778,54846.636056649
2025,6,1,4,841,67176.220068,266956.52401968,67197.425311685
2025,6,1,5,983,76686.180138,315597.75450936,80206.414056019
2025,6,2,1,291,23152.700034,101215.32369642,47416.151149756
2025,6,2,2,593,46248.350052,191317.66478856,88258.910377526
2025,6,2,3,878,59803.830084,258037.97074848,115834.971404164
2025,6,2,4,1161,77616.15015,347625.05327046,147799.429171602
2025,6,2,5,1427,91750.14024,421667.88296232,177767.124140312
2025,6,3,1,292,23154.200034,101233.32369642,67744.503510354
2025,6,3,2,605,46596.28005,193893.17076516,126782.048783685
2025,6,3,3,923,61467.760086,267649.91665164,173372.432076975
2025,6,3,4,1242,80297.450184,362468.67885534,226104.851464332
2025,6,3,5,1557,95966.560284,453107.660592,276167.23525374
2025,8,1,1,131,12399.94,63772.8,13634.74713095238
2025,8,1,2,243,21154.76,100562.6985,20348.27911011905
2025,8,1,3,350,25429.23,126238.866,25663.613636904764
2025,8,1,4,460,32196.11,165868.025,32746.36850595238
2025,8,1,5,521,34644.04,180852.394,36064.18125595238
2025,8,2,1,150,15136.94,71968.05,27745.146642857144
2025,8,2,2,331,26820.78,123831.9935,42396.62299404762
2025,8,2,3,516,33342.2,165278.6583,54567.16111785714
2025,8,2,4,710,43468.23,235947.6203,74291.52396309524
2025,8,2,5,842,49222.9,280326.7858,84146.51804642857
2025,8,3,1,152,15151.94,72126.8,41699.44603571429
2025,8,3,2,353,27663.28,129655.1935,64858.35165178571
2025,8,3,3,556,34536.25,174981.0303,84700.31783571429
2025,8,3,4,780,45939.36,258692.4733,121998.65455
2025,8,3,5,975,53878.28,322861.5638,142352.73738928573
2025,6,1,1,261,22302.300024,96301.32465066,23909.046639488
2025,6,1,2,477,42717.660042,170526.31574994,43396.234831830996
2025,6,1,3,671,53859.940038,216334.49939778,54846.636056649
2025,6,1,4,841,67176.220068,266956.52401968,67197.425311685
2025,6,1,5,983,76686.180138,315597.75450936,80206.414056019
2025,6,2,1,291,23152.700034,101215.32369642,47416.151149756
2025,6,2,2,593,46248.350052,191317.66478856,88258.910377526
2025,6,2,3,878,59803.830084,258037.97074848,115834.971404164
2025,6,2,4,1161,77616.15015,347625.05327046,147799.429171602
2025,6,2,5,1427,91750.14024,421667.88296232,177767.124140312
2025,6,3,1,292,23154.200034,101233.32369642,67744.503510354
2025,6,3,2,605,46596.28005,193893.17076516,126782.048783685
2025,6,3,3,923,61467.760086,267649.91665164,173372.432076975
2025,6,3,4,1242,80297.450184,362468.67885534,226104.851464332
2025,6,3,5,1557,95966.560284,453107.660592,276167.23525374
2025,8,1,1,131,12399.94,63772.8,13634.74713095238
2025,8,1,2,243,21154.76,100562.6985,20348.27911011905
2025,8,1,3,350,25429.23,126238.866,25663.613636904764
2025,8,1,4,460,32196.11,165868.025,32746.36850595238
2025,8,1,5,521,34644.04,180852.394,36064.18125595238
2025,8,2,1,150,15136.94,71968.05,27745.146642857144
2025,8,2,2,331,26820.78,123831.9935,42396.62299404762
2025,8,2,3,516,33342.2,165278.6583,54567.16111785714
2025,8,2,4,710,43468.23,235947.6203,74291.52396309524
2025,8,2,5,842,49222.9,280326.7858,84146.51804642857
2025,8,3,1,152,15151.94,72126.8,41699.44603571429
2025,8,3,2,353,27663.28,129655.1935,64858.35165178571
2025,8,3,3,556,34536.25,174981.0303,84700.31783571429
2025,8,3,4,780,45939.36,258692.4733,121998.65455
2025,8,3,5,975,53878.28,322861.5638,142352.73738928573
2025,10,1,1,72,6613.53,43164.2,8016.485079365079
2025,10,1,2,130,8078.900000000001,56486.637,10424.663884920634
2025,10,1,3,177,9794.460000000001,67833.982,12093.247003968254
2025,10,1,4,219,11129.95,88245.982,15708.20630079365
2025,10,1,5,250,11731.15,92409.532,16404.91030873016
2025,10,2,1,83,7962.53,51368.2,16294.175714285713
2025,10,2,2,181,10480.92,72056.199,21604.3308015873
2025,10,2,3,272,13816.380000000001,95315.584,25447.829912698413
2025,10,2,4,359,15932.59,124121.364,33181.80316904762
2025,10,2,5,441,19607.3,146247.219,35713.1274547619
2025,10,3,1,83,7962.53,51368.2,24833.071904761906
2025,10,3,2,190,11414.95,110570.26699999999,34567.36373333333
2025,10,3,3,304,15934.91,143103.027,41322.674060714286
2025,10,3,4,413,18447.52,175665.397,53793.68067738095
2025,10,3,5,535,23125.43,210235.702,59625.55430833333
