season,n_legs,lifelines,worst_case_bets,worst_case_turnover,worst_case_payout,expected_payout,rpf_fees,poc_fees,gross_win_of_original_bets,fraction_saved,N_bets_total
2025,4,1,474,47518.69,235582.3801,106405.28510833334,997.8924900000001,7321.9455,47518.69,0.0878754171301446,5394
2025,4,2,968,79456.59,342283.2057,143626.901,1668.5883900000001,12172.7045,79456.59,0.17945865776789025,5394
2025,4,3,1366,118974.82,516936.2588,216553.56100833334,2498.47122,18245.6635,118974.82,0.25324434556915093,5394
2025,4,4,1700,146370.61000000002,601450.4603,249956.164675,3073.78281,22410.8885,146370.61000000002,0.3151649981460882,5394
2025,4,5,2022,167553.0,694897.6938,286614.25850833335,3518.6130000000003,25727.422,167553.0,0.37486095661846497,5394
2025,4,"1,1",529,51347.97,248611.9751,201031.56688333335,1078.30737,7906.3375,51347.97,0.09807193177604746,5394
2025,4,"2,1",1124,91523.58,380113.9912,233396.524675,1921.9951800000001,14217.878,91523.58,0.20837968112717833,5394
2025,4,"3,1",1596,134632.41,568498.1638,290454.0506833333,2827.2806100000003,20843.427,134632.41,0.29588431590656283,5394
2025,4,"4,1",1985,164303.34,660589.2536,316940.77934999997,3450.37014,25366.4255,164303.34,0.36800148312940306,5394
2025,4,"5,1",2350,187005.79,760248.6065999999,349776.97318333335,3927.12159,28915.468,187005.79,0.43566926214312196,5394
2025,4,"2,2",1184,93622.98,388022.6597,274658.14846666664,1966.08258,14538.763,93622.98,0.21950315164998146,5394
2025,4,"3,2",1711,139092.86,587155.7323,331715.674475,2920.95006,21551.2695,139092.86,0.3172043010752688,5394
2025,4,"4,2",2157,170370.41,686646.9569,358202.40314166667,3577.7786100000003,26331.511,170370.41,0.39988876529477196,5394
2025,4,"5,2",2591,194967.23,794709.1559,391038.596975,4094.31183,30177.509,194967.23,0.4803485354097145,5394
2025,4,"3,3",1742,139959.51,591393.3373,398861.61456666666,2939.14971,21685.767,139959.51,0.3229514275120504,5394
2025,4,"4,3",2248,173891.17,704498.6004,425348.3432333333,3651.71457,26874.321,173891.17,0.41675936225435667,5394
2025,4,"5,3",2724,200059.27,820461.6644,458184.53706666664,4201.24467,30965.136,200059.27,0.5050055617352615,5394
2025,4,"4,4",2266,174847.67,709116.3999,461888.341,3671.80107,27020.5455,174847.67,0.42009640341119764,5394
2025,4,"5,4",2775,202462.12,832315.5239,494724.53483333334,4251.70452,31332.813,202462.12,0.514460511679644,5394
2025,4,"5,5",2791,202809.7,834918.7119,539125.9866666667,4259.0037,31385.2,202809.7,0.5174267704857248,5394
2025,4,"1,1,1",532,51447.97,249021.9751,70461.38742500001,1080.4073700000001,7921.3375,51447.97,0.09862810530218762,5394
2025,4,"2,1,1",1133,91848.58,382081.9912,94561.32971666666,1928.8201800000002,14266.628,91848.58,0.21004820170559882,5394
