Bands 6-7,,,,,,,,,,,,
Season,N Legs,Lifelines,Expected Payout,Gross Win of bets saved by lifelines,Gross Win of all lifeline-eligible bets,Gross Win Post Lifelines,Cost % (Fraction of Gross Win Post Lifelines),,,,,
2025,4,1," $10,517 "," $6,460 "," $88,278 "," $81,819 ",13%,,,,,
2025,5,1," $11,306 "," $5,481 "," $100,074 "," $94,593 ",12%,,,,,
2025,6,"2,2"," $19,062 "," $9,745 "," $78,997 "," $69,253 ",28%,,,,,
2025,7,"2,2"," $11,008 "," $4,957 "," $62,272 "," $57,315 ",19%,,,,,
2025,8,"2,2,2"," $12,196 "," $6,901 "," $52,804 "," $45,903 ",27%,,,,,
2025,9,"2,2,2"," $6,229 "," $1,736 "," $43,525 "," $41,789 ",15%,,,,,
2025,10,"2,2,2,2"," $9,883 "," $1,619 "," $36,621 "," $35,002 ",28%,,,,,
2025,11,"2,2,2,2"," $3,827 ", $615 ," $31,866 "," $31,250 ",12%,,,,,
2025,12,"2,2,2,2"," $6,498 "," $1,620 "," $57,083 "," $55,463 ",12%,,,,,
,,Total," $90,526 "," $39,133 "," $551,520 "," $512,387 ",18%,,Gross Win in 2025,,," $1,578,504 "
,,,,,,,,,Gross Win in 2025 after lifelines,,," $1,318,809 "
,,,,,,,,,,,,
Bands 1-5,,,,,,,,,,,,
Season,N Legs,Lifelines,Expected Payout,Gross Win of bets saved by lifelines,Gross Win of all lifeline-eligible bets,Gross Win Post Lifelines,Cost % (Fraction of Gross Win Post Lifelines),,,,,
2025,4,2," $117,676 "," $59,826 "," $164,578 "," $104,752 ",112%,,,,,
2025,5,2," $26,043 "," $28,884 "," $136,344 "," $107,460 ",24%,,,,,
2025,6,"4,4"," $85,836 "," $45,208 "," $83,374 "," $38,166 ",225%,,,,,
2025,7,"4,4"," $39,522 "," $28,520 "," $86,419 "," $57,899 ",68%,,,,,
2025,8,"3,3,3"," $50,175 "," $19,358 "," $108,936 "," $89,578 ",56%,,,,,
2025,9,"3,3,3"," $25,531 "," $10,288 "," $108,786 "," $98,498 ",26%,,,,,
2025,10,"4,4,4,4"," $50,217 "," $12,529 "," $88,620 "," $76,091 ",66%,,,,,
2025,11,"4,4,4,4"," $15,940 "," $6,219 "," $107,433 "," $101,215 ",16%,,,,,
2025,12,"4,4,4,4"," $41,525 "," $9,730 "," $142,493 "," $132,763 ",31%,,,,,
,,Total," $452,464 "," $220,563 "," $1,026,984 "," $806,422 ",56%,,,,,
